Sr.No,Title,Price,Star Ratings
105,Her Backup Boyfriend (The Sorensen Family #1),33.97,One
106,"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,Two
107,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,Three
108,First and First (Five Boroughs #3),15.97,Four
109,Fifty Shades Darker (Fifty Shades #2),21.96,One
110,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,Two
111,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,Two
112,Danganronpa Volume 1,51.99,Four
113,Crown of Midnight (Throne of Glass #2),43.29,Three
114,"Codename Baboushka, Volume 1: The Conclave of Death",36.72,Four
115,Camp Midnight,17.08,Four
116,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,Five
117,Burning,28.81,Three
118,Bossypants,49.46,Two
119,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,Two
120,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,Two
121,Algorithms to Live By: The Computer Science of Human Decisions,30.81,One
122,A World of Flavor: Your Gluten Free Passport,42.95,One
123,"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,Five
124,A Murder in Time,16.64,One
125,A Flight of Arrows (The Pathfinders #2),55.53,Five
126,A Fierce and Subtle Poison,28.13,Four
127,A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,One
128,(Un)Qualified: How God Uses Broken People to Do Big Things,54.0,Five
129,You Are What You Love: The Spiritual Power of Habit,21.87,Four
130,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,Four
131,Tuesday Nights in 1980,21.04,Two
132,Tracing Numbers on a Train,41.6,Three
133,Throne of Glass (Throne of Glass #1),35.07,Three
134,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,One
135,Thirteen Reasons Why,52.72,One
136,The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,58.08,Four
137,The Wedding Dress,24.12,One
138,The Vacationers,42.15,Four
139,The Third Wave: An Entrepreneurâs Vision of the Future,12.61,Five
140,The Stranger,17.44,Four
141,The Shadow Hero (The Shadow Hero),33.14,One
142,The Secret (The Secret #1),27.37,Four
143,The Regional Office Is Under Attack!,51.36,Five
144,The Psychopath Test: A Journey Through the Madness Industry,36.0,Two
145,The Project,10.65,One
146,The Power of Now: A Guide to Spiritual Enlightenment,43.54,Two
147,The Omnivore's Dilemma: A Natural History of Four Meals,38.21,Two
148,The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,Five
149,The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,Four
150,The Mistake (Off-Campus #2),43.29,Three
151,The Matchmaker's Playbook (Wingmen Inc. #1),55.85,One
152,The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,Two
153,The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,One
154,The Kite Runner,41.82,Four
155,The House by the Lake,36.95,One
156,The Glittering Court (The Glittering Court #1),44.28,One
157,The Girl on the Train,55.02,Two
158,The Genius of Birds,17.24,One
159,The Emerald Mystery,23.15,Two
160,The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,One
161,The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.0,Three
162,The Artist's Way: A Spiritual Path to Higher Creativity,38.49,Five
163,The Art of War,33.34,Five
164,The Argonauts,10.93,Two
165,The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,Three
166,Suddenly in Love (Lake Haven #1),55.99,Two
167,Something More Than This,16.24,Four
168,Soft Apocalypse,26.12,Two
169,So You've Been Publicly Shamed,12.23,Two
170,Shoe Dog: A Memoir by the Creator of NIKE,23.99,Two
171,"Shobu Samurai, Project Aryoku (#3)",29.06,Three
172,Secrets and Lace (Fatal Hearts #1),20.27,One
173,Scarlett Epstein Hates It Here,43.55,Five
174,Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,One
175,Redeeming Love,20.47,Five
176,Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,One
177,Poems That Make Grown Women Cry,14.19,Four
178,"Nightingale, Sing",38.28,One
179,Night Sky with Exit Wounds,41.05,One
180,Mrs. Houdini,30.25,Five
181,Modern Romance,28.26,Five
182,Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),10.76,One
183,Louisa: The Extraordinary Life of Mrs. Adams,16.85,Two
184,Little Red,13.47,Three
185,Library of Souls (Miss Peregrineâs Peculiar Children #3),48.56,Five
186,Large Print Heart of the Pride,19.15,Two
187,I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,Four
188,Hollow City (Miss Peregrineâs Peculiar Children #2),42.98,One
189,Grumbles,22.16,Two
190,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,Four
191,Frostbite (Vampire Academy #2),29.99,Five
192,Follow You Home,21.36,One
193,First Steps for New Christians (Print Edition),29.0,One
194,Finders Keepers (Bill Hodges Trilogy #2),53.53,Five
195,"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,Four
196,Eureka Trivia 6.0,54.59,Four
197,Drive: The Surprising Truth About What Motivates Us,34.95,Four
198,Done Rubbed Out (Reightman & Bailey #1),37.72,Five
199,Doing It Over (Most Likely To #1),35.61,Three
200,"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,Three
201,Dark Notes,19.19,Five
202,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,Three
203,Close to You,49.46,Four
204,Chasing Heaven: What Dying Taught Me About Living,37.8,Two
205,Big Magic: Creative Living Beyond Fear,30.8,Three
206,Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,Two
207,Beauty Restored (Riley Family Legacy Novellas #3),11.11,Two
208,Batman: The Long Halloween (Batman),36.5,Two
209,Batman: The Dark Knight Returns (Batman),15.38,Five
210,Ayumi's Violin,15.48,Two
211,Anonymous,46.82,Four
212,Amy Meets the Saints and Sages,18.46,Three
213,Amid the Chaos,36.58,One
214,Amatus,50.54,Five
215,Agnostic: A Spirited Manifesto,12.51,Five
216,Zealot: The Life and Times of Jesus of Nazareth,24.7,Three
217,You (You #1),43.61,Five
218,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,Four
219,Wild Swans,14.36,Two
220,Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,52.65,Four
221,Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.2,Four
222,What's It Like in Space?: Stories from Astronauts Who've Been There,19.6,Two
223,"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,One
224,Walt Disney's Alice in Wonderland,12.96,Five
225,V for Vendetta (V for Vendetta Complete),37.1,Four
226,Until Friday Night (The Field Party #1),46.31,Two
227,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",45.95,Two
228,Twenty Yawns,22.08,Two
229,Through the Woods,25.38,Two
230,This Is Where It Ends,27.12,Two
231,The Year of Magical Thinking,43.04,Two
232,The Wright Brothers,56.8,Four
233,The White Queen (The Cousins' War #1),25.91,Five
234,The Wedding Pact (The O'Malleys #2),32.61,Three
235,The Time Keeper,27.88,Five
236,The Testament of Mary,52.67,Four
237,The Star-Touched Queen,46.02,Five
238,The Songs of the Gods,44.48,Five
239,The Song of Achilles,37.4,Five
240,The Rosie Project (Don Tillman #1),54.04,One
241,The Power of Habit: Why We Do What We Do in Life and Business,16.88,Three
242,The Marriage of Opposites,28.08,Four
243,The Lucifer Effect: Understanding How Good People Turn Evil,10.4,One
244,The Long Haul (Diary of a Wimpy Kid #9),44.07,One
245,The Loney,23.4,One
246,The Literature Book (Big Ideas Simply Explained),17.43,Three
247,The Last Mile (Amos Decker #2),54.21,Two
248,The Immortal Life of Henrietta Lacks,40.67,Two
249,The Hidden Oracle (The Trials of Apollo #1),52.26,Two
250,The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,28.77,Three
251,The Guilty (Will Robie #4),13.82,Two
252,The First Hostage (J.B. Collins #2),25.85,Three
253,The Dovekeepers,48.78,One
254,The Darkest Lie,35.35,Five
255,The Bane Chronicles (The Bane Chronicles #1-11),44.73,Four
256,The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâs Most Precious Manuscripts,15.77,One
257,The 14th Colony (Cotton Malone #11),39.24,One
258,That Darkness (Gardiner and Renner #1),13.92,One
259,Tastes Like Fear (DI Marnie Rome #3),10.69,One
260,Take Me with You,45.21,Three
261,Swell: A Year of Waves,45.58,One
262,Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,Five
263,Still Life with Bread Crumbs,26.41,Three
264,Steve Jobs,39.5,Five
265,Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,Four
266,Someone Like You (The Harrisons #2),52.79,Five
267,"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,Four
268,Shtum,55.84,Four
269,See America: A Celebration of Our National Parks & Treasured Sites,48.87,Three
270,salt.,46.78,Four
271,Robin War,47.82,Three
272,"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,Two
273,Rain Fish,23.57,Three
274,"Quarter Life Poetry: Poems for the Young, Broke and Hangry",50.89,Five
275,Pet Sematary,10.56,Three
276,"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",52.15,Three
277,Once Was a Time,18.28,Two
278,Old School (Diary of a Wimpy Kid #10),11.83,Five
279,No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,Two
280,"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,Two
281,My Name Is Lucy Barton,41.56,One
282,My Mrs. Brown,24.48,Three
283,My Kind of Crazy,40.36,One
284,Mr. Mercedes (Bill Hodges Trilogy #1),28.9,One
285,More Than Music (Chasing the Dream #1),37.61,Two
286,Made to Stick: Why Some Ideas Survive and Others Die,38.85,Five
287,Luis Paints the World,53.95,Three
288,Luckiest Girl Alive,49.83,Three
289,Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,Two
290,Love Is a Mix Tape (Music #1),18.03,One
291,Looking for Lovely: Collecting the Moments that Matter,29.14,Five
292,"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",46.91,Four
293,Let It Out: A Journey Through Journaling,26.79,Five
294,Lady Midnight (The Dark Artifices #1),16.28,Five
295,"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",19.55,One
296,Island of Dragons (Unwanteds #7),29.65,One
297,I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,25.98,Four
298,I Am Pilgrim (Pilgrim #1),10.6,Four
299,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,Five
300,"Hush, Hush (Hush, Hush #1)",47.02,Three
301,Hold Your Breath (Search and Rescue #1),28.82,One
302,Hamilton: The Revolution,58.79,Three
303,Greek Mythic History,10.23,Five
304,God: The Most Unpleasant Character in All Fiction,30.03,Five
305,Glory over Everything: Beyond The Kitchen House,45.84,Three
306,Feathers: Displays of Brilliant Plumage,49.05,Three
307,"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,Four
308,Every Last Word,46.47,Three
309,Eligible (The Austen Project #4),27.09,Three
310,El Deafo,57.62,Five
311,Eight Hundred Grapes,14.39,Four
312,"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",51.75,Five
313,"Eat Fat, Get Thin",54.07,Two
314,Don't Get Caught,55.35,One
315,Doctor Sleep (The Shining #2),40.12,Two
316,Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),37.51,Five
317,Dear Mr. Knightley,11.21,Five
318,Daily Fantasy Sports,36.58,One
319,Crazy Love: Overwhelmed by a Relentless God,47.72,Two
320,Cometh the Hour (The Clifton Chronicles #6),25.01,Three
321,Code Name Verity (Code Name Verity #1),22.13,Four
322,Clockwork Angel (The Infernal Devices #1),44.14,One
323,City of Glass (The Mortal Instruments #3),56.02,Four
324,City of Fallen Angels (The Mortal Instruments #4),11.23,Four
325,City of Bones (The Mortal Instruments #1),43.28,One
326,City of Ashes (The Mortal Instruments #2),47.27,One
327,Cell,20.29,Four
328,Catching Jordan (Hundred Oaks),50.83,Three
329,"Carry On, Warrior: Thoughts on Life Unarmed",31.85,Three
330,Carrie,46.23,Two
331,Buying In: The Secret Dialogue Between What We Buy and Who We Are,37.8,Four
332,Brain on Fire: My Month of Madness,49.32,Five
333,Batman: Europa,32.01,Two
334,Barefoot Contessa Back to Basics,28.01,One
335,Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,50.62,Five
336,Balloon Animals,17.03,Three
337,Art Ops Vol. 1,48.8,Three
338,Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),58.14,Four
339,Angels Walking (Angels Walking #1),34.2,Two
340,Angels & Demons (Robert Langdon #1),51.48,Three
341,All the Light We Cannot See,29.87,Five
342,"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,Two
343,Abstract City,56.37,Five
344,A Time of Torment (Charlie Parker #14),48.35,Five
345,A Study in Scarlet (Sherlock Holmes #1),16.73,Two
346,"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",56.48,Two
347,A People's History of the United States,40.79,Two
348,A Man Called Ove,39.72,One
349,A Distant Mirror: The Calamitous 14th Century,14.58,Three
350,A Brush of Wings (Angels Walking #3),55.51,One
351,1491: New Revelations of the Americas Before Columbus,21.8,Three
352,"The Three Searches, Meaning, and the Story",13.33,Three
353,Searching for Meaning in Gailana,38.73,One
354,Rook,37.86,Four
355,My Kitchen Year: 136 Recipes That Saved My Life,11.53,Two
356,13 Hours: The Inside Account of What Really Happened In Benghazi,27.06,One
357,Will You Won't You Want Me?,13.86,Three
358,Tipping Point for Planet Earth: How Close Are We to the Edge?,37.55,One
359,The Star-Touched Queen,32.3,Five
360,The Silent Sister (Riley MacPherson #1),46.29,Five
361,The Midnight Watch: A Novel of the Titanic and the Californian,26.2,One
362,The Lonely City: Adventures in the Art of Being Alone,33.26,Two
363,The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,59.15,Four
364,The Golden Condom: And Other Essays on Love Lost and Found,39.43,One
365,The Epidemic (The Program 0.6),14.44,Five
366,The Dinner Party,56.54,Two
367,The Diary of a Young Girl,59.9,Three
368,The Children,11.88,Three
369,Stars Above (The Lunar Chronicles #4.5),48.05,Two
370,Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,21.21,Three
371,Raspberry Pi Electronics Projects for the Evil Genius,49.67,Four
372,Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,43.14,One
373,Psycho: Sanitarium (Psycho #1.5),36.97,Five
374,Poisonous (Max Revere Novels #3),26.8,Three
375,One with You (Crossfire #5),15.71,Four
376,No Love Allowed (Dodge Cove #1),54.65,Four
377,Murder at the 42nd Street Library (Raymond Ambler #1),54.36,Four
378,Most Wanted,35.28,Three
379,"Love, Lies and Spies",20.55,Two
380,How to Speak Golf: An Illustrated Guide to Links Lingo,58.32,Five
381,Hide Away (Eve Duncan #20),11.84,One
382,Furiously Happy: A Funny Book About Horrible Things,41.46,Four
383,Everyday Italian: 125 Simple and Delicious Recipes,20.1,Five
384,Equal Is Unfair: America's Misguided Fight Against Income Inequality,56.86,One
385,Eleanor & Park,56.51,Five
386,Dirty (Dive Bar #1),40.83,Four
387,Can You Keep a Secret? (Fear Street Relaunch #4),48.64,One
388,Boar Island (Anna Pigeon #19),59.48,Three
389,A Paris Apartment,39.01,Four
390,"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",38.77,One
391,Troublemaker: Surviving Hollywood and Scientology,48.39,Two
392,The Widow,27.26,Two
393,"The Sleep Revolution: Transforming Your Life, One Night at a Time",11.68,Four
394,The Improbability of Love,59.45,One
395,The Art of Startup Fundraising,21.0,Three
396,Take Me Home Tonight (Rock Star Romance #3),53.98,Three
397,Sleeping Giants (Themis Files #1),48.74,One
398,"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",21.15,Two
399,Playing with Fire,13.71,Three
400,Off the Hook (Fishing for Trouble #1),47.67,Three
401,Mothering Sunday,13.34,Two
402,"Mother, Can You Not?",16.89,Five
403,M Train,27.18,One
404,Lilac Girls,17.28,Two
405,Lies and Other Acts of Love,45.14,One
406,Lab Girl,40.85,One
407,Keep Me Posted,20.46,Four
408,It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,56.27,Three
409,Grey (Fifty Shades #4),48.49,Four
410,"Exit, Pursued by a Bear",51.34,Four
411,Daredevils,16.34,Three
412,Cravings: Recipes for What You Want to Eat,20.5,Three
413,Born for This: How to Find the Work You Were Meant to Do,21.59,Five
414,Arena,21.36,Four
415,Adultery,20.88,Five
416,A Mother's Reckoning: Living in the Aftermath of Tragedy,19.53,Three
417,A Gentleman's Position (Society of Gentlemen #3),14.75,Five
418,11/22/63,48.48,Three
419,"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",24.57,Two
420,10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,49.71,Five
421,Without Shame,48.27,Five
422,Watchmen,58.05,Four
423,Unlimited Intuition Now,58.87,Four
424,Underlying Notes,11.82,Two
425,The Shack,28.03,One
426,The New Brand You: Your New Image Makes the Sale for You,44.05,Five
427,"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",12.34,Four
428,The Flowers Lied,16.68,Two
429,"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",55.91,One
430,The Book of Mormon,24.57,Three
431,The Art and Science of Low Carbohydrate Living,52.98,Five
432,The Alien Club,54.4,One
433,Suzie Snowflake: One beautiful flake (a self-esteem story),54.81,Five
434,Nap-a-Roo,25.08,One
435,"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",10.41,Four
436,Modern Day Fables,47.44,Two
437,If I Gave You God's Phone Number....: Searching for Spirituality in America,20.91,One
438,"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,Four
439,Dress Your Family in Corduroy and Denim,43.68,Three
440,Don't Forget Steven,33.23,One
441,Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,35.92,Two
442,Art and Fear: Observations on the Perils (and Rewards) of Artmaking,48.63,Four
443,A Shard of Ice (The Black Symphony Saga #1),56.63,Three
444,A Hero's Curse (The Unseen Chronicles #1),50.49,Three
445,23 Degrees South: A Tropical Tale of Changing Whether...,35.79,Two
446,"Zero to One: Notes on Startups, or How to Build the Future",34.06,Three
447,Why Not Me?,17.76,One
448,When Breath Becomes Air,39.36,Two
449,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,Two
450,The Unlikely Pilgrimage of Harold Fry (Harold Fry #1),43.62,Five
451,The New Drawing on the Right Side of the Brain,43.02,Three
452,"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",28.45,Four
453,The Martian (The Martian #1),41.39,Two
454,The High Mountains of Portugal,51.15,One
455,The Grownup,35.88,One
456,The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,36.91,One
457,South of Sunshine,28.93,One
458,Smarter Faster Better: The Secrets of Being Productive in Life and Business,38.89,Five
459,Silence in the Dark (Logan Point #4),58.33,Three
460,Shadows of the Past (Logan Point #1),39.67,Five
461,Roller Girl,14.1,Five
462,Rising Strong,21.82,Three
463,Proofs of God: Classical Arguments from Tertullian to Barth,54.21,One
464,Please Kill Me: The Uncensored Oral History of Punk,31.19,Four
465,Out of Print: City Lights Spotlight No. 14,53.64,Five
466,My Life Next Door (My Life Next Door ),36.39,Five
467,Miller's Valley,58.54,Two
468,Man's Search for Meaning,29.48,Three
469,"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",25.06,Two
470,Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,12.55,Three
471,Les Fleurs du Mal,29.04,Five
472,Left Behind (Left Behind #1),40.72,Two
473,Kill 'Em and Leave: Searching for James Brown and the American Soul,45.05,Five
474,Kierkegaard: A Christian Missionary to Christians,47.13,One
475,John Vassos: Industrial Design for Modern Life,20.22,Four
476,I'll Give You the Sun,56.48,One
477,I Will Find You,44.21,One
478,Hystopia: A Novel,21.96,Four
479,Howl and Other Poems,40.45,Two
480,History of Beauty,10.29,Four
